phase,sensor,samples,seconds,mean_C,p95_C,peak_C,mean_heat_rate_C_min
IDLE,pack1_C,1370,137.0000,23.0747,24.0600,24.1441,0.0455
ACCELERATING,pack1_C,560,56.0000,22.9374,23.8842,24.0315,0.5047
FOILING,pack1_C,2830,283.0000,23.0696,24.0397,24.1469,0.3550
TOUCHDOWN,pack1_C,100,10.0000,23.2050,24.0343,24.0508,0.1391
FALL,pack1_C,140,14.0000,23.0951,24.0926,24.1474,0.4363
IDLE,pack2_C,1370,137.0000,23.1588,24.1505,24.2244,0.0468
ACCELERATING,pack2_C,560,56.0000,23.0191,23.9662,24.1256,0.5050
FOILING,pack2_C,2830,283.0000,23.1535,24.1318,24.2355,0.3612
TOUCHDOWN,pack2_C,100,10.0000,23.2882,24.1383,24.1803,0.1056
FALL,pack2_C,140,14.0000,23.1762,24.1521,24.2159,0.4124
IDLE,pack3_C,1370,137.0000,23.2406,24.2389,24.3334,0.0411
ACCELERATING,pack3_C,560,56.0000,23.0982,24.0557,24.1511,0.5048
FOILING,pack3_C,2830,283.0000,23.2383,24.2285,24.3304,0.3605
TOUCHDOWN,pack3_C,100,10.0000,23.3860,24.2352,24.2690,0.2536
FALL,pack3_C,140,14.0000,23.2665,24.2913,24.3342,0.4379
IDLE,pack4_C,1370,137.0000,23.3236,24.3285,24.4105,0.0263
ACCELERATING,pack4_C,560,56.0000,23.1852,24.1463,24.2996,0.5412
FOILING,pack4_C,2830,283.0000,23.3241,24.3210,24.4251,0.3697
TOUCHDOWN,pack4_C,100,10.0000,23.4656,24.3192,24.3649,0.1716
FALL,pack4_C,140,14.0000,23.3445,24.3752,24.4339,0.4093
IDLE,pack5_C,1370,137.0000,23.4095,24.4233,24.5077,0.0270
ACCELERATING,pack5_C,560,56.0000,23.2708,24.2474,24.4274,0.5470
FOILING,pack5_C,2830,283.0000,23.4084,24.4171,24.5232,0.3696
TOUCHDOWN,pack5_C,100,10.0000,23.5513,24.4033,24.4397,0.1532
FALL,pack5_C,140,14.0000,23.4328,24.4515,24.5075,0.4541
IDLE,pack6_C,1370,137.0000,23.4907,24.5072,24.6420,0.0192
ACCELERATING,pack6_C,560,56.0000,23.3536,24.3528,24.4748,0.5676
FOILING,pack6_C,2830,283.0000,23.4936,24.5112,24.6206,0.3729
TOUCHDOWN,pack6_C,100,10.0000,23.6417,24.5173,24.5573,0.1950
FALL,pack6_C,140,14.0000,23.5189,24.5426,24.6171,0.4487
IDLE,vesc_mosfet_C,1370,137.0000,25.1393,26.3101,26.4207,-0.4044
ACCELERATING,vesc_mosfet_C,560,56.0000,24.9590,26.1194,26.2326,0.3462
FOILING,vesc_mosfet_C,2830,283.0000,25.2018,26.3735,26.4544,0.7129
TOUCHDOWN,vesc_mosfet_C,100,10.0000,25.3935,26.3440,26.3477,0.4815
FALL,vesc_mosfet_C,140,14.0000,25.3279,26.4416,26.4527,0.6043
IDLE,vesc_motor_or_safety_ntc_C,1370,137.0000,23.8342,24.6165,24.6583,-0.1176
ACCELERATING,vesc_motor_or_safety_ntc_C,560,56.0000,23.6986,24.4562,24.5112,0.2152
FOILING,vesc_motor_or_safety_ntc_C,2830,283.0000,23.8277,24.6155,24.6708,0.3895
TOUCHDOWN,vesc_motor_or_safety_ntc_C,100,10.0000,23.9462,24.5912,24.5936,0.2880
FALL,vesc_motor_or_safety_ntc_C,140,14.0000,23.8924,24.6661,24.6702,0.3444
IDLE,enclosure_C,1370,137.0000,22.6923,23.1820,23.1924,0.0017
ACCELERATING,enclosure_C,560,56.0000,22.6008,23.0649,23.0895,0.1310
FOILING,enclosure_C,2830,283.0000,22.6659,23.1600,23.1954,0.2033
TOUCHDOWN,enclosure_C,100,10.0000,22.7351,23.1424,23.1438,0.1645
FALL,enclosure_C,140,14.0000,22.6980,23.1943,23.1953,0.1866
