phase,sensor,samples,seconds,mean_C,p95_C,peak_C,mean_heat_rate_C_min
IDLE,pack1_C,1670,167.0000,23.3775,24.5421,24.6457,-0.1048
ACCELERATING,pack1_C,580,58.0000,23.1860,24.3581,24.5532,0.5077
FOILING,pack1_C,5020,502.0000,23.3349,24.5378,24.6676,0.2996
TOUCHDOWN,pack1_C,120,12.0000,23.3796,24.5332,24.5712,0.2163
FALL,pack1_C,160,16.0000,23.4782,24.5759,24.6341,0.1383
IDLE,pack2_C,1670,167.0000,23.4613,24.6397,24.7846,-0.1059
ACCELERATING,pack2_C,580,58.0000,23.2704,24.4530,24.6263,0.5304
FOILING,pack2_C,5020,502.0000,23.4185,24.6340,24.7538,0.3012
TOUCHDOWN,pack2_C,120,12.0000,23.4635,24.6350,24.6877,0.1820
FALL,pack2_C,160,16.0000,23.5644,24.6887,24.7562,0.1511
IDLE,pack3_C,1670,167.0000,23.5418,24.7241,24.8386,-0.1159
ACCELERATING,pack3_C,580,58.0000,23.3506,24.5421,24.7140,0.5307
FOILING,pack3_C,5020,502.0000,23.5014,24.7270,24.8873,0.3073
TOUCHDOWN,pack3_C,120,12.0000,23.5458,24.7260,24.7808,0.1854
FALL,pack3_C,160,16.0000,23.6411,24.7739,24.8221,0.0887
IDLE,pack4_C,1670,167.0000,36.9185,46.9709,47.3062,-0.9357
ACCELERATING,pack4_C,580,58.0000,35.2762,45.4045,46.4152,4.4498
FOILING,pack4_C,5020,502.0000,36.5687,46.9735,47.3693,2.5982
TOUCHDOWN,pack4_C,120,12.0000,36.9751,46.9368,46.9924,1.7547
FALL,pack4_C,160,16.0000,37.7769,47.3106,47.3626,1.0034
IDLE,pack5_C,1670,167.0000,23.7088,24.9236,25.0148,-0.1259
ACCELERATING,pack5_C,580,58.0000,23.5143,24.7154,24.9083,0.5558
FOILING,pack5_C,5020,502.0000,23.6693,24.9228,25.0550,0.3102
TOUCHDOWN,pack5_C,120,12.0000,23.7206,24.9351,24.9742,0.2617
FALL,pack5_C,160,16.0000,23.8117,24.9630,25.0450,0.1268
IDLE,pack6_C,1670,167.0000,23.7910,25.0097,25.1062,-0.1178
ACCELERATING,pack6_C,580,58.0000,23.5962,24.8276,24.9933,0.5513
FOILING,pack6_C,5020,502.0000,23.7531,25.0158,25.1079,0.3125
TOUCHDOWN,pack6_C,120,12.0000,23.8047,25.0136,25.0584,0.2238
FALL,pack6_C,160,16.0000,23.9000,25.0614,25.1329,0.1286
IDLE,vesc_mosfet_C,1670,167.0000,25.6033,26.7819,26.9314,-0.6585
ACCELERATING,vesc_mosfet_C,580,58.0000,25.3876,26.6486,26.7649,0.2818
FOILING,vesc_mosfet_C,5020,502.0000,25.6928,26.8891,26.9689,0.5557
TOUCHDOWN,vesc_mosfet_C,120,12.0000,25.7163,26.8851,26.8883,0.4937
FALL,vesc_mosfet_C,160,16.0000,25.9612,26.9529,26.9671,0.2136
IDLE,vesc_motor_or_safety_ntc_C,1670,167.0000,24.2119,25.0992,25.1590,-0.2376
ACCELERATING,vesc_motor_or_safety_ntc_C,580,58.0000,24.0384,24.9468,25.0027,0.1835
FOILING,vesc_motor_or_safety_ntc_C,5020,502.0000,24.1939,25.1110,25.1738,0.3186
TOUCHDOWN,vesc_motor_or_safety_ntc_C,120,12.0000,24.2176,25.0968,25.0989,0.2896
FALL,vesc_motor_or_safety_ntc_C,160,16.0000,24.3690,25.1675,25.1731,0.1678
IDLE,enclosure_C,1670,167.0000,22.9718,23.5973,23.6138,-0.0452
ACCELERATING,enclosure_C,580,58.0000,22.8429,23.4577,23.4827,0.1200
FOILING,enclosure_C,5020,502.0000,22.9190,23.5698,23.6179,0.1774
TOUCHDOWN,enclosure_C,120,12.0000,22.9388,23.5536,23.5550,0.1657
FALL,enclosure_C,160,16.0000,23.0282,23.6162,23.6177,0.1193
