session_id,timestamp_ms,event_type,confidence,source,notes
2026-08-14-001,0,SESSION_START,1.0,system,
2026-08-14-001,15000,MOTOR_START,0.95,baseline,
2026-08-14-001,15000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,23000,TAKEOFF,0.936,synthetic_truth,
2026-08-14-001,59000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,61000,RECOVERY,0.85,baseline,
2026-08-14-001,97000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,97000,FALL,0.711,synthetic_truth,
2026-08-14-001,119000,MOTOR_START,0.95,baseline,
2026-08-14-001,119000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,126000,TAKEOFF,0.909,synthetic_truth,
2026-08-14-001,161000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,163000,RECOVERY,0.85,baseline,
2026-08-14-001,199000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,199000,FALL,0.818,synthetic_truth,
2026-08-14-001,213000,MOTOR_START,0.95,baseline,
2026-08-14-001,213000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,218000,TAKEOFF,0.924,synthetic_truth,
2026-08-14-001,270000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,270000,FALL,0.849,synthetic_truth,
2026-08-14-001,292000,MOTOR_START,0.95,baseline,
2026-08-14-001,292000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,297700,TEMP_WARNING,1.0,sensor,
2026-08-14-001,300000,TAKEOFF,0.919,synthetic_truth,
2026-08-14-001,333000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,335000,RECOVERY,0.85,baseline,
2026-08-14-001,369000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,369000,FALL,0.91,synthetic_truth,
2026-08-14-001,390000,MOTOR_START,0.95,baseline,
2026-08-14-001,390000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,397000,TAKEOFF,0.906,synthetic_truth,
2026-08-14-001,430000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,432000,RECOVERY,0.85,baseline,
2026-08-14-001,466000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,466000,FALL,0.99,synthetic_truth,
2026-08-14-001,485000,MOTOR_START,0.95,baseline,
2026-08-14-001,485000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,493000,TAKEOFF,0.913,synthetic_truth,
2026-08-14-001,563000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,563000,FALL,0.71,synthetic_truth,
2026-08-14-001,578000,MOTOR_START,0.95,baseline,
2026-08-14-001,578000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,586000,TAKEOFF,0.906,synthetic_truth,
2026-08-14-001,602000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,604000,RECOVERY,0.85,baseline,
2026-08-14-001,620000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,620000,FALL,0.747,synthetic_truth,
2026-08-14-001,633000,MOTOR_START,0.95,baseline,
2026-08-14-001,633000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-14-001,640000,TAKEOFF,0.919,synthetic_truth,
2026-08-14-001,675000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-14-001,677000,RECOVERY,0.85,baseline,
2026-08-14-001,713000,MOTOR_STOP,0.95,baseline,
2026-08-14-001,713000,FALL,0.99,synthetic_truth,
2026-08-14-001,754900,SESSION_END,1.0,system,
