session_id,timestamp_ms,event_type,confidence,source,notes
2026-08-18-001,0,SESSION_START,1.0,system,
2026-08-18-001,15000,MOTOR_START,0.95,baseline,
2026-08-18-001,15000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,20000,TAKEOFF,0.935,synthetic_truth,
2026-08-18-001,46000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-18-001,48000,RECOVERY,0.85,baseline,
2026-08-18-001,74000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,74000,FALL,0.676,synthetic_truth,
2026-08-18-001,96000,MOTOR_START,0.95,baseline,
2026-08-18-001,96000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,102000,TAKEOFF,0.908,synthetic_truth,
2026-08-18-001,133000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-18-001,135000,RECOVERY,0.85,baseline,
2026-08-18-001,167000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,167000,FALL,0.83,synthetic_truth,
2026-08-18-001,185000,MOTOR_START,0.95,baseline,
2026-08-18-001,185000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,191000,TAKEOFF,0.916,synthetic_truth,
2026-08-18-001,217000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,217000,FALL,0.782,synthetic_truth,
2026-08-18-001,239000,MOTOR_START,0.95,baseline,
2026-08-18-001,239000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,246000,TAKEOFF,0.933,synthetic_truth,
2026-08-18-001,280000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-18-001,282000,RECOVERY,0.85,baseline,
2026-08-18-001,316000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,316000,FALL,0.89,synthetic_truth,
2026-08-18-001,326100,WATER_DETECTED,1.0,sensor,
2026-08-18-001,331000,MOTOR_START,0.95,baseline,
2026-08-18-001,331000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,337000,TAKEOFF,0.868,synthetic_truth,
2026-08-18-001,349000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-18-001,351000,RECOVERY,0.85,baseline,
2026-08-18-001,353300,VESC_FAULT,1.0,vesc,
2026-08-18-001,364000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,364000,FALL,0.99,synthetic_truth,
2026-08-18-001,378000,MOTOR_START,0.95,baseline,
2026-08-18-001,378000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-18-001,385000,TAKEOFF,0.925,synthetic_truth,
2026-08-18-001,410000,MOTOR_STOP,0.95,baseline,
2026-08-18-001,410000,FALL,0.817,synthetic_truth,
2026-08-18-001,452900,SESSION_END,1.0,system,
