session_id,timestamp_ms,event_type,confidence,source,notes
2026-08-11-001,0,SESSION_START,1.0,system,
2026-08-11-001,15000,MOTOR_START,0.95,baseline,
2026-08-11-001,15000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,21000,TAKEOFF,0.932,synthetic_truth,
2026-08-11-001,49000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-11-001,51000,RECOVERY,0.85,baseline,
2026-08-11-001,79000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,79000,FALL,0.678,synthetic_truth,
2026-08-11-001,102000,MOTOR_START,0.95,baseline,
2026-08-11-001,102000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,110000,TAKEOFF,0.932,synthetic_truth,
2026-08-11-001,140000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-11-001,142000,RECOVERY,0.85,baseline,
2026-08-11-001,172000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,172000,FALL,0.677,synthetic_truth,
2026-08-11-001,185000,MOTOR_START,0.95,baseline,
2026-08-11-001,185000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,192000,TAKEOFF,0.971,synthetic_truth,
2026-08-11-001,242000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,242000,FALL,0.675,synthetic_truth,
2026-08-11-001,259000,MOTOR_START,0.95,baseline,
2026-08-11-001,259000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,265000,TAKEOFF,0.967,synthetic_truth,
2026-08-11-001,284000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-11-001,286000,RECOVERY,0.85,baseline,
2026-08-11-001,305000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,305000,FALL,0.681,synthetic_truth,
2026-08-11-001,319000,MOTOR_START,0.95,baseline,
2026-08-11-001,319000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,326000,TAKEOFF,0.963,synthetic_truth,
2026-08-11-001,360000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-11-001,362000,RECOVERY,0.85,baseline,
2026-08-11-001,397000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,397000,FALL,0.673,synthetic_truth,
2026-08-11-001,410000,MOTOR_START,0.95,baseline,
2026-08-11-001,410000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,417000,TAKEOFF,0.943,synthetic_truth,
2026-08-11-001,470000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,470000,FALL,0.678,synthetic_truth,
2026-08-11-001,489000,MOTOR_START,0.95,baseline,
2026-08-11-001,489000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,494000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,506000,MOTOR_START,0.95,baseline,
2026-08-11-001,506000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-11-001,512000,TAKEOFF,0.956,synthetic_truth,
2026-08-11-001,538000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-11-001,540000,RECOVERY,0.85,baseline,
2026-08-11-001,566000,MOTOR_STOP,0.95,baseline,
2026-08-11-001,566000,FALL,0.678,synthetic_truth,
2026-08-11-001,607900,SESSION_END,1.0,system,
