phase,sensor,samples,seconds,mean_C,p95_C,peak_C,mean_heat_rate_C_min
IDLE,pack1_C,1540,154.0000,23.1552,24.0616,24.1392,-0.0584
ACCELERATING,pack1_C,520,52.0000,22.9474,23.8781,24.0352,0.4247
FOILING,pack1_C,3780,378.0000,23.0639,24.0508,24.1523,0.3243
TOUCHDOWN,pack1_C,100,10.0000,22.9893,24.0749,24.1320,0.2624
FALL,pack1_C,140,14.0000,23.1556,24.0923,24.1545,0.1351
IDLE,pack2_C,1540,154.0000,23.2367,24.1473,24.2401,-0.0555
ACCELERATING,pack2_C,520,52.0000,23.0277,23.9645,24.0756,0.4190
FOILING,pack2_C,3780,378.0000,23.1439,24.1397,24.2437,0.3274
TOUCHDOWN,pack2_C,100,10.0000,23.0707,24.1495,24.2025,0.2716
FALL,pack2_C,140,14.0000,23.2365,24.1773,24.2051,0.1468
IDLE,pack3_C,1540,154.0000,23.3166,24.2438,24.3245,-0.0773
ACCELERATING,pack3_C,520,52.0000,23.1058,24.0509,24.2022,0.4344
FOILING,pack3_C,3780,378.0000,23.2267,24.2332,24.3657,0.3367
TOUCHDOWN,pack3_C,100,10.0000,23.1521,24.2473,24.2745,0.2502
FALL,pack3_C,140,14.0000,23.3149,24.2764,24.3091,0.1120
IDLE,pack4_C,1540,154.0000,23.3982,24.3308,24.4564,-0.0737
ACCELERATING,pack4_C,520,52.0000,23.1864,24.1502,24.3001,0.4520
FOILING,pack4_C,3780,378.0000,23.3079,24.3214,24.4228,0.3325
TOUCHDOWN,pack4_C,100,10.0000,23.2356,24.3490,24.3932,0.2749
FALL,pack4_C,140,14.0000,23.4036,24.3713,24.4341,0.1526
IDLE,pack5_C,1540,154.0000,23.4797,24.4214,24.5163,-0.0774
ACCELERATING,pack5_C,520,52.0000,23.2666,24.2324,24.3960,0.4382
FOILING,pack5_C,3780,378.0000,23.3904,24.4111,24.5544,0.3377
TOUCHDOWN,pack5_C,100,10.0000,23.3128,24.4207,24.4644,0.2823
FALL,pack5_C,140,14.0000,23.4781,24.4576,24.5838,0.1612
IDLE,pack6_C,1540,154.0000,23.5591,24.5107,24.6330,-0.0860
ACCELERATING,pack6_C,520,52.0000,23.3476,24.3270,24.4425,0.4727
FOILING,pack6_C,3780,378.0000,23.4714,24.4969,24.6187,0.3390
TOUCHDOWN,pack6_C,100,10.0000,23.3970,24.5197,24.5836,0.2544
FALL,pack6_C,140,14.0000,23.5687,24.5393,24.5650,0.1695
IDLE,vesc_mosfet_C,1540,154.0000,25.3346,26.4098,26.4955,-0.5548
ACCELERATING,vesc_mosfet_C,520,52.0000,25.1243,26.2419,26.2817,0.2080
FOILING,vesc_mosfet_C,3780,378.0000,25.3743,26.4599,26.5298,0.6263
TOUCHDOWN,vesc_mosfet_C,100,10.0000,25.2416,26.4311,26.4347,0.6174
FALL,vesc_mosfet_C,140,14.0000,25.5874,26.5168,26.5281,0.3102
IDLE,vesc_motor_or_safety_ntc_C,1540,154.0000,24.0119,24.7495,24.7987,-0.1906
ACCELERATING,vesc_motor_or_safety_ntc_C,520,52.0000,23.8312,24.6065,24.6388,0.1517
FOILING,vesc_motor_or_safety_ntc_C,3780,378.0000,23.9544,24.7520,24.8120,0.3507
TOUCHDOWN,vesc_motor_or_safety_ntc_C,100,10.0000,23.8780,24.7374,24.7396,0.3434
FALL,vesc_motor_or_safety_ntc_C,140,14.0000,24.0855,24.8070,24.8113,0.2120
IDLE,enclosure_C,1540,154.0000,22.8305,23.3210,23.3339,-0.0274
ACCELERATING,enclosure_C,520,52.0000,22.6960,23.1966,23.2193,0.1063
FOILING,enclosure_C,3780,378.0000,22.7529,23.2961,23.3372,0.1887
TOUCHDOWN,enclosure_C,100,10.0000,22.7114,23.2834,23.2847,0.1845
FALL,enclosure_C,140,14.0000,22.8301,23.3360,23.3371,0.1353
