schema_version,timestamp_ms,session_id,config_id,vesc_vin_V,vesc_battery_A,vesc_motor_A,vesc_duty,vesc_erpm,vesc_mosfet_C,vesc_motor_or_safety_ntc_C,pack1_C,pack2_C,pack3_C,pack4_C,pack5_C,pack6_C,enclosure_C,water_adc,water_alarm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,amp_hours,watt_hours,fault_code,remote_ok,sd_ok,gps_lat,gps_lon,gps_speed_mps,gps_course_deg,gps_fix_quality,sim_state,sim_attempt_id,sim_outcome,scenario
1.0.0,0,2026-08-11-001,FOIL_004,50.344148,0.136036,0.165349,0.036314,370.028262,23.000000,22.600000,21.627747,21.719952,21.772659,21.847027,21.935329,22.009880,22.000000,3884.394355,False,0.044378,-0.013653,1.007932,-8.090866,2.588877,0.785029,0.000004,0.000190,0,True,True,40.552398,-105.162803,0.000000,29.528996,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,100,2026-08-11-001,FOIL_004,50.343890,0.141958,0.187704,0.037751,-29.460122,22.999587,22.599833,21.632330,21.708125,21.753842,21.864352,21.860698,22.019892,21.999981,3885.536872,False,0.119032,-0.096029,1.007778,-4.569370,2.312960,4.726844,0.000008,0.000389,0,True,True,40.552403,-105.162801,0.029838,27.244660,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,200,2026-08-11-001,FOIL_004,50.344197,0.134732,0.170557,0.045015,32.464026,22.999174,22.599666,21.602736,21.709522,21.830778,21.811692,21.909018,21.967155,21.999961,3872.483909,False,0.046737,0.003175,0.963463,5.878140,-0.335586,-1.720521,0.000011,0.000577,0,True,True,40.552396,-105.162800,0.097567,26.216308,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,300,2026-08-11-001,FOIL_004,50.344097,0.136984,0.178756,0.048112,183.869939,22.998761,22.599499,21.561972,21.679423,21.759123,21.875367,21.870619,21.906942,21.999942,3849.797648,False,-0.171941,0.032993,1.047443,-2.226313,-7.449233,-4.973740,0.000015,0.000769,0,True,True,40.552399,-105.162798,0.011223,26.376958,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,400,2026-08-11-001,FOIL_004,50.343746,0.145062,0.178014,0.044261,-78.354999,22.998348,22.599333,21.662089,21.714756,21.778159,21.811670,21.877015,22.028257,21.999922,3855.747027,False,0.015283,-0.028973,0.892037,-0.838514,-2.073256,0.998098,0.000019,0.000972,0,True,True,40.552396,-105.162804,0.065461,27.158444,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,500,2026-08-11-001,FOIL_004,50.343880,0.141862,0.170529,0.031659,224.738267,22.997936,22.599166,21.628970,21.686162,21.770968,21.842532,21.888935,21.927637,21.999903,3829.062801,False,0.015779,-0.094447,1.028555,-11.079031,7.426548,3.385327,0.000023,0.001170,0,True,True,40.552404,-105.162803,0.124551,29.115740,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,600,2026-08-11-001,FOIL_004,50.344500,0.127376,0.157449,0.025672,33.332466,22.997522,22.598999,21.602367,21.727904,21.755576,21.870530,21.907296,21.905835,21.999883,3885.291912,False,0.033142,-0.043093,0.982307,0.562122,-2.981383,-1.072413,0.000027,0.001348,0,True,True,40.552400,-105.162799,0.127928,26.563524,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,700,2026-08-11-001,FOIL_004,50.344311,0.131688,0.168825,0.023451,248.801421,22.997109,22.598832,21.603214,21.639993,21.798247,21.811427,21.915740,21.961733,21.999864,3843.939674,False,0.072730,-0.015124,0.822326,0.298382,-2.167068,-4.596538,0.000030,0.001532,0,True,True,40.552402,-105.162801,0.000000,30.043125,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,800,2026-08-11-001,FOIL_004,50.343851,0.142320,0.182605,0.040500,73.937179,22.996698,22.598665,21.618133,21.721657,21.749407,21.807491,21.929818,21.916514,21.999844,3887.980018,False,-0.024310,0.131452,1.035200,-0.875881,2.474116,-2.596965,0.000034,0.001731,0,True,True,40.552400,-105.162803,0.000000,28.566183,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,900,2026-08-11-001,FOIL_004,50.344678,0.123000,0.157307,0.036925,198.022352,22.996284,22.598498,21.659666,21.718214,21.818452,21.877024,21.900113,21.961776,21.999825,3853.365801,False,0.179659,0.010844,0.993027,-10.631745,-0.389431,2.164705,0.000038,0.001903,0,True,True,40.552403,-105.162800,0.015667,29.132787,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,1000,2026-08-11-001,FOIL_004,50.344021,0.138216,0.180531,0.048532,821.818463,22.995872,22.598331,21.619683,21.725135,21.760278,21.855119,21.908139,22.005966,21.999805,3858.908230,False,0.035199,-0.019381,0.988478,1.077226,0.501662,1.791448,0.000042,0.002097,0,True,True,40.552401,-105.162802,0.069820,26.763901,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,1100,2026-08-11-001,FOIL_004,50.343986,0.138942,0.175056,0.048438,505.520055,22.995460,22.598165,21.616472,21.707617,21.814178,21.775594,21.923938,22.009689,21.999786,3837.424080,False,0.110525,-0.030846,0.998035,-6.272237,0.241442,1.613763,0.000046,0.002291,0,True,True,40.552400,-105.162796,0.065050,28.730334,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,1200,2026-08-11-001,FOIL_004,50.343995,0.138647,0.173387,0.036576,-74.257016,22.995049,22.597998,21.650467,21.658788,21.724443,21.890059,21.912539,22.021227,21.999767,3839.745202,False,0.028703,0.068196,0.950976,3.076804,5.647458,2.633496,0.000049,0.002485,0,True,True,40.552404,-105.162802,0.000000,27.778929,2,IDLE,-1,NONE,Commissioning repeat
1.0.0,1300,2026-08-11-001,FOIL_004,50.344217,0.133409,0.165967,0.050289,740.661545,22.994637,22.597831,21.642208,21.691449,21.749481,21.830065,21.890013,21.991798,21.999747,3815.597385,False,-0.012054,-0.049536,0.933745,1.123735,4.647071,-2.318823,0.000053,0.002671,0,True,True,40.552399,-105.162800,0.093510,29.197291,2,IDLE,-1,NONE,Commissioning repeat
